	File.Name	Valence	Arousal	Dominance	StdDev.Valenence	StdDev.Arousal	StdDev.Dominance	Tokens	Alphabetic.Token	Non.Stopword.Tokens	Recognized.Tokens	NumberCount	DTAClass	DTASubClass	year	pubPlaces	publisher	scaled.valence	scaled.arousal	scaled.dominance
1	abel_leibmedicus_1699	0.24989	-0.05439	0.11271	0.80792	0.77315	0.80942	58015	47888	47888	30921	501	Fachtext	Medizin	1699	Leipzig	Metzler	-1.53823005479836	0.979706125295473	-1.15603127998044
2	abschatz_gedichte_1704	0.33632	0.05562	0.06709	0.85962	0.76246	0.80561	191382	160789	160789	107441	69	Belletristik	Lyrik	1704	Leipzig	Diederichs	-0.702143162423489	1.79668341137963	-1.67231413969604
3	achenwall_staatswissenschaft_1749	0.4725	-0.16923	0.1098	0.75732	0.62122	0.63613	66062	52240	52240	30507	1670	Fachtext	Recht	1749	Göttingen	Buchhandlung des Waisenhauses	0.615203974029244	0.126859370146807	-1.18896383416221
4	alexis_ruhe01_1852	0.36177	-0.108	0.2339	0.79204	0.65742	0.77051	88845	73055	73055	54013	3	Belletristik	Roman	1852	Berlin	Realschulbuchhandlung	-0.45595073605602	0.58157729785277	0.215479455857621
5	alexis_ruhe02_1852	0.33945	-0.06861	0.23086	0.79436	0.66169	0.76583	82928	66453	66453	49192	1	Belletristik	Roman	1852	Berlin	s. e.	-0.671864879730752	0.874102843701829	0.181075687915153
6	alexis_ruhe03_1852	0.3364	-0.0849	0.2111	0.78537	0.663	0.75824	78217	63347	63347	46890	6	Belletristik	Roman	1852	Berlin	Unger	-0.701369276603867	0.753126932509111	-0.04254880371089
7	alexis_ruhe04_1852	0.33489	-0.06943	0.21693	0.79265	0.66204	0.77306	88810	71737	71737	53142	15	Belletristik	Roman	1852	Berlin	Fleischer	-0.715976371449245	0.868013202991085	0.0234294749419356
8	alexis_ruhe05_1852	0.33985	-0.08621	0.20074	0.79504	0.66774	0.77167	98092	79860	79860	58477	24	Belletristik	Roman	1852	Berlin	Fleischer	-0.667995450632638	0.743398360154141	-0.159793223409565
9	altmann_elementarorganismen_1890	0.4062	-0.28526	0.2734	0.67372	0.53241	0.64934	48622	42893	42893	28151	343	Fachtext	Biologie	1890	Leipzig	Vieweg	-0.0261538989830649	-0.73482479042355	0.662502098531139
10	andreas_fenitschka_1898	0.34434	-0.04475	0.28293	0.70811	0.67278	0.78111	45147	36432	36432	27888	1	Belletristik	Prosa	1898	Stuttgart	s. e.	-0.624561109006314	1.05129653560227	0.770353384219205
11	anthus_esskunst_1838	0.47899	-0.35306	0.39428	0.82566	0.71888	0.75848	86811	73473	73473	51669	64	Fachtext	Gesellschaftswissenschaften	1838	Leipzig	König	0.677985461146135	-1.23833410772658	2.03050455540139
12	anzengruber_gwissenswurm_1874	0.3228	-0.02741	0.2148	0.67159	0.68021	0.76982	23535	18049	18049	11149	121	Belletristik	Drama	1874	Wien	Fürst	-0.832929865939725	1.18007015746119	-0.000675796675649294
13	arends_exter_1708	0.26213	0.10875	0.11057	0.82566	0.7374	0.75224	30194	25493	25493	19589	83	Gebrauchsliteratur	Erbauungsliteratur	1708	Halle (Saale)	Decker	-1.41982552439609	2.19124757108922	-1.18024972188731
14	arent_dichtercharaktere_1885	0.47401	-0.11344	0.11588	0.78907	0.73862	0.85216	74683	61536	61536	39329	130	Belletristik	Lyrik	1885	Leipzig	Heckenast;Wigand	0.629811068874622	0.541177730210757	-1.12015629827728
15	arnim_wunderhorn01_1806	0.54341	-0.17377	0.26149	0.83048	0.76892	0.77019	83317	68035	68035	48961	303	Belletristik	Lyrik	1806	Frankfurt;Heidelberg	Neuenhahn	1.30115701739731	0.0931435545043915	0.527716283993377
16	arnim_wunderhorn02_1808	0.52368	-0.16854	0.27655	0.82673	0.76898	0.76944	80151	66249	66249	46913	86	Belletristik	Lyrik	1808	Heidelberg	Raspe	1.11029742713286	0.131983580013165	0.698150739655736
