furto	0.52	0.04	0.42
commons	0.51	-0.27	0.61
emporbringen	-0.26	0.61	-0.06
Etwas	1.22	-0.33	0.58
erfahrungsmäßig	0.03	-0.03	0.4
Verbergene	0.36	0.05	0.2
sq.	-0.41	0.23	0.22
Wucherkapital	0.2	0.23	0.26
Silvatica	0.77	-1.19	0.61
Nachtgeist	0.74	-0.18	-0.41
Lernende	-0.05	0.15	-0.06
Aussparung	0.35	-0.88	0.45
seifen	-0.17	-0.73	0.35
Schwertmagen	0.19	0.1	-0.05
1773.	0.76	0.09	0.34
Ackerwirtschaft	-0.19	-0.12	0.01
Abendbrot	1.73	-0.75	0.88
Zer	0.18	0.03	0.41
Laflotte	-0.06	0.44	0.27
ickstatt	-0.65	0.42	0.12
Glasfabrikation	0.76	-0.62	0.54
21000	0.38	-0.58	0.25
agrotis	-0.61	0.29	0.26
Fürsorge	1.74	-0.56	0.67
codicem	0.06	0.06	0.47
Schwall	0.02	0.85	-0.2
erberechtlich	-0.48	0.66	0.01
Causalverhältnis	-0.28	0.29	0.27
Feierer	0.89	-0.36	-0.11
Pyämie	-1.77	1.02	-0.67
Ritterburg	0.7	-0.73	-0.03
Kurzflügeler	-0.27	0.02	0.33
Basan	0.18	-0.01	-0.72
moderieren	-0.98	0.93	-0.17
1h	1.12	-0.89	0.61
Seitenwurzel	-0.18	-0.5	-0.02
Holzblock	0.17	-0.84	0.48
Ital	0.23	-0.06	0.23
Zinngießer	-0.34	0.4	0.16
anlegen	0.37	-0.38	0.27
Borste	-0.23	-0.31	0.49
Längsleiste	-0.64	-0.1	0.19
francf.	-0.25	0.51	0.18
Knittelvers	-0.25	0.92	0.17
steuerlos	0.31	-0.05	-0.21
Parlamentarier	0.13	0.31	0.19
Halden	-0.0	-0.61	-0.24
Unfähige	-0.79	0.77	-0.1
Erstaunung	0.07	0.76	0.26
belauschen	0.09	-0.02	0.18
pisces	-0.34	0.35	0.21
bestreifen	1.14	-0.99	0.3
Auberg	1.26	-0.61	0.49
Arbeitsstrom	0.35	-0.64	0.53
Lohnzahlung	0.19	0.11	0.12
Gassengeburt	-2.55	1.46	-1.37
cedunt	-0.16	0.34	0.42
120	0.97	-1.03	0.55
Zuckung	-1.95	1.09	-0.83
unverzüglich	0.33	-0.1	0.25
Nackte	1.0	-0.21	0.47
Hinterezeug	-0.05	-0.6	0.41
Matrikularbeiträgen	-0.58	0.28	-0.0
hen	0.69	-0.37	0.85
Wechselpreis	0.65	-0.21	0.42
Vorgeschichte	0.59	-0.14	0.05
Eigentumsverhältnis	0.22	0.05	0.28
Konzertmeister	1.48	0.28	0.47
